country,vaccine,multilateral_agreement,donations,covax,unknown,total
Taiwan,Moderna - mRNA-1273,"560,000","2,500,000",(Blank),(Blank),"3,060,000"
Taiwan,AstraZeneca - Vaxzevria,(Blank),"1,240,000","609,600",(Blank),"1,849,600"
Taiwan,Vaxzevria,"116,500",(Blank),(Blank),(Blank),"116,500"
Bulgaria,Pfizer BioNTech - Comirnaty,"2,986,035",(Blank),(Blank),(Blank),"2,986,035"
Bulgaria,AstraZeneca - Vaxzevria,"1,183,200",(Blank),(Blank),(Blank),"1,183,200"
Bulgaria,Moderna - mRNA-1273,"488,400",(Blank),(Blank),(Blank),"488,400"
Bulgaria,Janssen - Ad26.COV 2.S,"226,900",(Blank),(Blank),(Blank),"226,900"
El Salvador,Sinovac - CoronaVac,"1,500,000","150,000",(Blank),(Blank),"1,650,000"
El Salvador,Moderna - mRNA-1273,(Blank),(Blank),"1,500,100",(Blank),"1,500,100"
El Salvador,Unknown,(Blank),(Blank),(Blank),"915,313","915,313"
El Salvador,Pfizer BioNTech - Comirnaty,"125,190",(Blank),"191,880",(Blank),"317,070"
El Salvador,AstraZeneca - Vaxzevria,(Blank),(Blank),"225,600",(Blank),"225,600"
El Salvador,SII - Covishield,"200,000",(Blank),(Blank),(Blank),"200,000"
South Africa,Unknown,(Blank),(Blank),(Blank),"1,909,018","1,909,018"
South Africa,Pfizer BioNTech - Comirnaty,"325,260",(Blank),"1,392,300",(Blank),"1,717,560"
South Africa,SII - Covishield,"1,000,000",(Blank),(Blank),(Blank),"1,000,000"
South Africa,Janssen - Ad26.COV 2.S,"80,000",(Blank),(Blank),(Blank),"80,000"
Jordan,Unknown,(Blank),(Blank),(Blank),"2,903,724","2,903,724"
Jordan,Pfizer BioNTech - Comirnaty,"1,000,000",(Blank),"40,950",(Blank),"1,040,950"
Jordan,AstraZeneca - Vaxzevria,(Blank),(Blank),"436,800",(Blank),"436,800"
Jordan,Sinopharm (Beijing) - BBIBP-CorV,"150,000",(Blank),(Blank),(Blank),"150,000"
Norway,Pfizer BioNTech - Comirnaty,"2,662,920",(Blank),(Blank),(Blank),"2,662,920"
Norway,Unknown,(Blank),(Blank),(Blank),"721,803","721,803"
Norway,Moderna - mRNA-1273,"375,600",(Blank),(Blank),(Blank),"375,600"
Norway,AstraZeneca - Vaxzevria,"345,600",(Blank),(Blank),(Blank),"345,600"
Norway,Janssen - Ad26.COV 2.S,"279,100",(Blank),(Blank),(Blank),"279,100"
Uzbekistan,Anhui ZL - Recombinant,"3,500,000",(Blank),(Blank),(Blank),"3,500,000"
Uzbekistan,SII - Covishield,(Blank),(Blank),"660,000",(Blank),"660,000"
Uzbekistan,Gamaleya - Sputnik V,"170,000",(Blank),(Blank),(Blank),"170,000"
Ukraine,Sinovac - CoronaVac,"1,400,000",(Blank),(Blank),(Blank),"1,400,000"
Ukraine,Pfizer BioNTech - Comirnaty,"283,690",(Blank),"1,064,700",(Blank),"1,348,390"
Ukraine,AstraZeneca - Vaxzevria,(Blank),(Blank),"1,072,800",(Blank),"1,072,800"
Ukraine,SII - Covishield,"500,000",(Blank),(Blank),(Blank),"500,000"
Azerbaijan,Unknown,(Blank),(Blank),(Blank),"3,213,533","3,213,533"
Azerbaijan,Sinovac - CoronaVac,"350,000","150,000",(Blank),(Blank),"500,000"
Azerbaijan,AstraZeneca - Vaxzevria,(Blank),(Blank),"259,200",(Blank),"259,200"
Azerbaijan,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"218,790",(Blank),"218,790"
Azerbaijan,Gamaleya - Sputnik V,"80,000",(Blank),(Blank),(Blank),"80,000"
Nigeria,SII - Covishield,(Blank),"300,000","3,924,000",(Blank),"4,224,000"
Uruguay,Unknown,(Blank),(Blank),(Blank),"2,310,805","2,310,805"
Uruguay,Sinovac - CoronaVac,"1,750,000",(Blank),(Blank),(Blank),"1,750,000"
Uruguay,AstraZeneca - Vaxzevria,(Blank),(Blank),"98,400",(Blank),"98,400"
Uruguay,Pfizer BioNTech - Comirnaty,"50,000",(Blank),(Blank),(Blank),"50,000"
Myanmar,SII - Covishield,"2,000,000","1,500,000",(Blank),(Blank),"3,500,000"
Myanmar,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"500,000",(Blank),(Blank),"500,000"
Myanmar,Bharat - Covaxin,(Blank),"200,000",(Blank),(Blank),"200,000"
